question,choices,answer
"The Maryes Heights are a landmark, found on which battlefield?","['Cold Harbor', 'Chancellorsville', 'Fair Oaks', 'Fredericksburg']",3
What two US Presidents served during the first decade of the Cold War?,"['Roosevelt, Truman', 'Eisenhower, Kennedy', 'Kennedy, Nixon', 'Truman, Eisenhower']",3
Who was in charge of the 1st Polish Independent Parachute Brigade during operation Market Garden?,"['Major General Roy Urquhart', 'Major General Sosabowski', 'Lieutenant General Brian Horrocks', 'Brigadier General Hackett']",1
Men were first to wear jewels.  They considered them to be this.,"['A part of their uniform', 'Barometers', 'Objects of womens desire', 'Amulets']",3
Dixie was composed in 1859 by this man.,"['Daniel Decatur Emmett', 'Jeff Davis', 'Joel Chandler Harris', 'Scott Joplin']",0
Who can be regarded as the only military dictator of England?,"['England never had a dictator.', 'Oliver Cromwell', 'Guy Fawkes', 'Winston Churchill']",1
"Dorothy Good, who was the youngest person to be accused of witchcraft, was how old?","['12', 'an infant', '4', '21']",2
How many days did it take the Mayflower to make the crossing from England to America?,"['66 days', '80 days', '77 days', '70 days']",0
"Adolf Hitlers father, Alois, changed his last name to Hitler. What was his original last name?","['Von Poppen', 'Schicklgruber', 'Hindenburg', 'Van Poppen']",1
Who was US President during most of the Korean War?,"['Eisenhower', 'Truman', 'Kennedy', 'Roosevelt']",1
Who was the first person in space?,"['Alexey Ivanovich', 'Alan Shepard', 'John Glen', 'Yuri Gagarin']",3
Were was the First Turkish-Portuguese War fought in 1509?,"['In the Indian Ocean', 'In Portugal', 'In Turkey', 'On Cyprus and other islands of the Mediterranean']",0
Bolshevik revolutionary and Marxist theorist Leon Trotsky was assassinated in which country?,"['France', 'Mexico', 'Bulgaria', 'Russia']",1
How were Napoleon Bonaparte and Napoleon III related?,"['They were not related.', 'Grandfather and grandson', 'Uncle and nephew', 'Father and son']",2
Which entity was ruled by Frederic Barbarossa?,"['the Catholic Church', 'France', 'the Holy Roman Empire', 'England']",2
"Where was Napoleon finally defeated on June 18, 1815?","['Aspern-Essling', 'Waterloo', 'Niemen River', 'Moscow']",1
The  first space tourist was this businessman.,"['Toyohiro Akiyama', 'Mark Shuttleworth', 'Dennis Tito', 'Lance Bass']",2
He created Chanel No. 5 for Coco Chanel.,"['Ernest Beaux', 'Ralph Lauren', 'Yves Saint Laurent', 'Jean Patou']",0
Sam Houston avenged the deaths of those killed at the Alamo in this battle.,"['Battle of Galiad', 'Battle of San Antonio', 'Battle of San Jacinto', 'Battle of Goliad']",2
What ancient Greek vessel was used to mix wine and water?,"['krater', 'hydria', 'amphorae', 'kylix']",0
"During the Russian Revolution in 1917, which of these people belonged to the Mensheviks?","['Lev Kamenev', 'Joseph Stalin', 'Pavel Axelrod', 'Matvei Muranov']",2
Which ruler was crowned the first Tsar of All the Russias?,"['Boris Gudunov', 'Peter the Great', 'Ivan the Great', 'Ivan the Terrible']",3
"What device was invented in 1879 by James Ritty, the owner of a tavern in Dayton, Ohio?","['The electric chair', 'The microwave oven', 'The jukebox', 'The cash register']",3
"In February 1952, the first Dont Walk sign was installed in this city.","['Washington', 'Chicago', 'Los Angeles', 'New York City']",3
The Ming Dynasty established the Forbidden City in Beijing. Do you know what ming means in Chinese?,"['bright', 'cruel', 'conqueror', 'builder']",0
Who was the first king in history to foster a belief in one God?,"['Tutankhamen', 'Ramses II', 'Akhenaten', 'Khufu']",2
"This tank was built during World War II, but had weight and speed issues.  It never saw battle.","['Panzerkampfwagen VIII Maus', 'Sturmpanzer IV Brummb r', 'M3A5 Grant', 'Heavy Tank Charron 2C']",0
"In 1994, which political party won the majority in the US congress for the first time in 40 years?","['Republican Party', 'Constitution Party', 'Democratic Party', 'Libertarian Party']",0
One of these events did not take place during December.,"['Napoleon died in exile', 'Bush ordered US troops to Somalia', 'Irish free state was declared', 'The Prohibition in the US ended']",0
What event sparked the beginning of the United States War on Terror?,"['World Trade Center bombing of 1993', 'The terrorist attacks of September 11', 'George W. Bushs victory in the 2000 election', 'None of these']",1
This subcontinent collided with Eurasia 55 million years ago.,"['Greenland', 'Indian subcontinent', 'None of these', 'Middle-eastern subcontinent']",1
Peter Lymburner Robertson received a patent in 1909 for the invention of what tool?,"['The electric chair', 'The automatic swimming pool filter', 'The swiveling lawn sprinkler', 'The square-headed screwdriver']",3
The US  became convinced that Soviet nuclear missiles were in Cuba by which of the following?,"['photos taken by a U-2 spy plane', 'a Cuban defectors report and pictures of missiles sites', 'a CIA spys report', 'Soviet announcement of the instillation of nuclear missiles in Cuba']",0
Which peculiarity of the Great Pyramid interior distinguishes it from the other pyramids?,"['The ascending passages and upper chambers', 'The larger number of its chambers', 'The underground chamber', 'Its wider and longer passages']",0
"The Battle of El Alamein, the Battle of Narvik, and the Battle of Crete were fought during this war.","['WWI', 'WWII', 'Great Poland Uprising', 'Polish-Lithuanian War']",1
In which US state is the active Mount Rainier volcano located?,"['Michigan', 'Ohio', 'Washington', 'New York']",2
"What American Idol winner was born on December 22, 1989 in Phoenix, Arizona?","['Jordin Sparks', 'Carrie Underwood', 'Kelly Clarkson', 'Kris Allen']",0
Just one of these events took place on October 13.,"['Italy declared war on Germany.', 'John Lennon was born.', 'Isaac Singer won the Nobel Prize.', 'Professional revolutionary Che Guevara was executed in Bolivia.']",0
In what month are the World Health Day and Buddhas Birthday celebrated?,"['June', 'February', 'September', 'April']",3
Which country in Europe had the first large permanent military force in Europe?,"['Sweden', 'Prussia', 'Spain', 'France']",2
What King of France was popularly known as the Sun King?,"['Louis XVI', 'Louis X', 'Louis XV', 'Louis XIV']",3
1982 saw the murders associated with this over-the-counter drug.,"['Aspirin', 'Excedrin', 'Zantac', 'Tylenol']",3
"Archaic French is still spoken in the area of this once French colony, lost to the British in 1763.","['Quebec', 'Senegal ( West Africa)', 'Haiti', 'Cambodia']",0
What period in the Middle Ages marked a renewed interest in Classical Antiquity?,"['900 AD', '800 AD', '1000 AD', '700 AD']",1
"This engineer, architect and industrialist invented the rotary lathe, used in plywood manufacturing.","['Thomas Edison', 'Alfred Nobel', 'Henry Ford', 'Immanuel Nobel']",3
This politician was the British Prime Minister who declared war on Germany in 1939.,"['Winston Churchill', 'Neville Chamberlain', 'Erwin Rommel', 'Kurt Student']",1
In this month the USA celebrates its Independence Day.,"['October', 'June', 'April', 'July']",3
Where did Scotland unsuccessfully try to establish a colony?,"['Uganda', 'Panama', 'Kiribati', 'Alaska']",1
The TV-series Taxi was first released during this period.,"['1990s', '1960s', '1970s', '1980s']",2
The U.S. acquired Spanish Florida on the 22th day of this month in 1819.,"['June', 'October', 'February', 'April']",2
"The Battle of Cajamarca, in which the last Inca emperor was captured, took place in which year?","['1530', '1532', '1555', '1560']",1
"WWII began on September 1, 1939, when Germany invaded this country.","['France', 'Austria', 'Russia', 'Poland']",3
This mans name is linked to a common medical procedure.,"['Neither', 'Julius Caesar', 'Both', 'Alexander the Great']",1
Which American Indian tribe was predominantly located in North Georgia?,"['Iroquois', 'Creek', 'Cherokee', 'Seminal']",2
What Civil War general is alleged to have sucked on lemons before going into a battle?,"['James Longstreet', 'Robert E. Lee', 'JEB Stuart', 'Thomas Jackson']",3
"What decade was nicknamed the Jazz Age in the United States, Canada and the United Kingdom?","['1960s', '1820s', '1920s', '1940s']",2
What is the only tank battle fought during the so called Winter War (1939-1940)?,"['Battle of Honkaniemi', 'Battle of Narvik', 'Battle of Dunkirk', 'Battle of Kollaa']",0
What was the importance of the Allied victory at Remagen during WW2?,"['The allies showed that they could co-operate in unison, despite the many nationalities.', 'The allies were able to force large number of German forces to surrender.', 'The allies managed to get bridgeheads over the Rhine river.', 'The allies got hold of the Industrial Ruhr area.']",2
What two Japanese carriers attacked the Aleutian islands on June 3rd 1942?,"['Zuikaku and Shokaku', 'Junyo and Ryujo', 'Junyo and Soryu', 'Soryu and Shokaku']",1
This really really big variety show host died on October 13th in 1974.,"['Johnny Carson', 'Steve Allen', 'Ed Sullivan', 'Jack Jones']",2
This Hollywood veteran played Sgt. Muldoon in a 1968 movie about the war in Vietnam.,"['Jim Hutton', 'Tim Hutton', 'Aldo Ray', 'R. Lee Ermey']",2
An incomplete skeleton of this dinosaur was discovered in 1900.,"['Oviraptor', 'Tyrannosaurus', 'Albertosaurus', 'Dynamosaurus']",1
Robert E. Lee commanded the Confederate army at Gettysburg. Who led the Union forces?,"['George Meade', 'Winfield Scott', 'Daniel Sickles', 'Ulysses Grant']",0
The Yalta Conference ended in February 1945 . Do you know when it started?,"['December 1944', 'February 1945', 'January 1945', 'November 1944']",1
What famous person got a patent in 2002 for a device used to tune drumheads?,"['Buddy Rich', 'Marlon Brando', 'Johnny Carson', 'Richard Feynmann']",1
How old was Giles Cory when he was pressed to death?,"['74', '103', '81', '29']",2
"The Soviet war in Afghanistan which started in 1979, continued for how many years?","['2 years', '7 years', '9 years', '5 years']",2
What caused the Cambrian-Ordovician mass extinction?,"['A drop in oxygen levels during the late Cambrian', 'Glaciation', 'None of these', 'Global warming']",1
Which battle preceded the Battle of Antietam?,"['Battle of Chickamauga', 'The Second Battle of Bull Run', 'The Battle of Chancellorsville', 'The Battle of Gettysburg']",1
Who created the concept of the Dark Ages in the 1330s?,"['Johan Huizinga', 'Dorothy Sayers', 'Petrarch', 'Flavio Biondo']",2
Where did the biggest amphibious operation during WW2 take place?,"['Italy', 'Okinawa', 'Normandy', 'Africa']",1
For medieval people beauty marks had very special meanings. Which of these statements is true?,"['All of these', 'Beauty marks above the lip meant coquetry.', 'Beauty marks around the eyes meant passion.', 'Beauty marks on the forehead meant grandeur.']",0
Which medieval unit of volume is the largest?,"['Bushel', 'Tun', 'Gallon', 'Quarter']",1
"This Yankee legends consecutive game streak of 2,130 came to an end on May 2, 1939.","['Joe Dimaggio', 'Babe Ruth', 'Lou Gehrig', 'Mickey Mantle']",2
"What city opened the first Worlds Fair in the United States on July 14, 1853?","['St. Louis', 'Chicago', 'New York City', 'Boston']",2
Who would arrange the marriage of the Japanese samurai by tradition?,"['His parents', 'The brides parents', 'Someone with the same or higher rank', 'He would do it himself']",2
How many distinct kingdoms were there in Ancient Egypt?,"['one', 'four', 'two', 'three']",3
What was the dividing line between North and South Korea after World War Two?,"['the 17th parallel', 'the 49th parallel', 'There was never any dividing line established.', 'the 38th parallel']",3
In what battle did the Highlanders have their last successful charge?,"['Bonnie Prince Charlie at  Falkirk in 1745-46 campaign', 'Heights of Abraham in 1759', 'Marquis of Motnrose  Alastair MacColla at Kilsyth in 1644-45 campaign', 'Claverhouse at Killiecrankie in 1689']",1
"What does the term seppuku, connected with the culture of Japanese samurai, refer to?","['Suicide', 'A vow', 'Silence kept before a battle', 'A weapon']",0
"From 1847 to 1923, there were eight U. S. Presidents hailing from this state.","['Virginia', 'Ohio', 'New York', 'Maryland']",1
Where was the assault rifle invented?,"['in Italy', 'in Mexico', 'in Germany', 'in Russia']",0
Which is the odd one out?,"['SWORDS', 'Dragon', 'Predator', 'TALON']",1
1783 Treaty of Paris was signed on this day.,"['November 5', 'December 6', 'October 4', 'September 3']",3
General Stonewall Jackson did not participate at which of these battles?,"['White Oak Swamp', 'Fredericksburg', 'Cross Keys', 'Gettysburg']",3
"What federal institution was founded on July 26, 1908?","['NSA', 'CIA', 'FBI', 'OSS']",2
The First Word War began after the assassination of what European royal heir?,"['Archduke Karl Ludwig of Austria', 'Archduke Franz Ferdinand of Austria', 'Maximilian, Duke of Hohenberg,', 'Prince Ernst von Hohenberg']",1
The base of the Mesozoic is established by what major event in the history of life on Earth?,"['A mass extinction 251 million years ago', 'The formation of a super-continent', 'An increase in biodiversity', 'None of these']",0
What was the first state to secede from the Union?,"['Virginia', 'South Carolina', 'Georgia', 'North Carolina']",1
Which country was invaded by the Soviet Army in 1968?,"['Afghanistan', 'Poland', 'Hungary', 'Czechoslovakia']",3
Who did Soviet leader Joseph Stalin appoint as his successor before his death in 1953?,"['Nobody', 'Khrushchev', 'Bulganin', 'Beria']",0
What event signaled the end of the Paleozoic?,"['The evolution of the dinosaurs', 'None of these', 'The evolution of humans', 'A large mass extinction at the end of the Permian period']",3
"When did a pandemic, known as the Plague of Justinian, afflict the Byzantine Empire?","['548-549 AD', '527-528 AD', '535-536 AD', '541-542 AD']",3
Why did President Truman relieve General MacArthur of command of UN forces in the Korean War?,"['because MacArthur wanted to withdraw all UN forces below the 38th parallel in Korea', 'because MacArthur publicly criticized his commander-in-chiefs (President Trumans) policy of limited war in Korea', 'because MacArthur refused to allow bombing attacks on communist bases in China', 'because MacArthur advocated counterattacking communist forces in Europe to relieve pressure on Korea']",1
We may have not known the meaning of,"['Brown-eyed Lady', 'Lady Marmalade', 'Sexy Sadie', 'Lady Godiva']",1
What English Queen was daughter of Henry VIII and Anne Boleyn?,"['Catherine II', 'Louse Elizabeth', 'Elizabeth I', 'Anne']",2
"Which temperature scale came first, Fahrenheit or Celsius?","['They were developed at  the same time', 'They were developed so close together that no one knows', 'Fahrenheit', 'Celsius']",2
Which was the largest empire in pre-Columbian America?,"['Maya', 'Toltec', 'Inca', 'Zapotec']",2
What general was killed by shrapnel in the Battle of Okinawa in 1945?,"['General Jonathan Wainwright', 'General Simon Buckner, Jr.', 'General Douglas MacArthur', 'General Walter Krueger']",1
What was the name of the first jet-powered fighter used in World War II?,"['P-51', 'Hurricane', 'Me-262', 'MIG-3']",2
What company unveiled the unsuccessful PCjr?,"['Tandy', 'Apple', 'Commodore', 'International Business Machines (IBM)']",3
One of these TV productions was not released in the 80s.,"['Dynasty', 'The Cosby Show', 'Saturday Night Live', 'L.A. Law']",2
What Dutch city was repeatedly plundered by the Vikings?,"['Dorestad', 'Roodeschool', 'Elburg', 'Goes']",0
"Julius Caesar, Marcus Antonius, and Cleopatra VII of Egypt all lived in this century.","['1st century AD', '1st century BC', '3rd century AD', '3rd century BC']",1
Who directed the 1987 film Full Metal Jacket?,"['Oliver Stone', 'Roy Kovic', 'Stanley Kubrick', 'Brian DePalma']",2
Where did General Shermans March to the Sea begin and end?,"['Atlanta to Savannah', 'Richmond to Savannah', 'Richmond to New Orleans', 'Charlotte to Savannah']",0
How many men did Washington have in his attack force during the Battle of Trenton?,"['3500', '7000', '2400', '1256']",2
