question,choices,answer
Dr. Ross Geller from the TV show Friends teaches paleontology at this university in New York City.,"['Rockefeller University', 'Columbia University', 'New York University', 'Fordham University']",2
What album was released by the rock band Weezer in 2001?,"['The Green Album', 'Greenage', 'Rock it Green', 'Greenation']",0
"What trio of actors, playing characters involved in a love triangle, is not correctly matched with the movie?","['The Notebook (2004) - Ryan Gosling, Rachel McAdams, James Marsden', 'The Graduate (1967) - Anne Bancroft, Dustin Hoffman, Katharine Ross', 'First Knight - Clive Owen, Keira Knightley, Sean Connery', 'The V.I.P.s (1963) - Elizabeth Taylor, Richard Burton, Louis Jourdan']",2
"Name the author of the spy thrillers The Bourne Identity, The Bourne Supremacy and The Bourne Ultimatum, which were adapted into movies starring Matt Damon.","['Robert J. Sawyer', 'Robert Kerr', 'Robert Coover', 'Robert Ludlum']",3
"What did Jethro Tull invent in 1701, while he was living in Crowmarsh Gifford, a village in Oxfordshire, England?","['The combine machine', 'The telescope', 'The first modern rifle', 'The seed drill']",3
"What does the Latin proverb, Dum spiro, spero, mean in English?","['Do to others the same as you do to yourself.', 'I know that I dont know anything.', 'Dont look a gift horse in the mouth.', 'While I breath, I hope']",3
Who was on the cover of the first issue of  People magazine?,"['Elvis Presley', 'Joseph G. Cannon', 'Mia Farrow', 'Lucille Ball']",2
"In 1494, Luca Pacioli, a close friend of Leonardo da Vinci, wrote the book Summa de arithmetica, geometrica, proportioni et proportionalita, which contained what?","['A study of mathematical and artistic proportion', 'A list of DaVincis inventions', 'The first biography of DaVinci', 'A description of a method of keeping accounts, known as Double-entry book-keeping']",3
What was the first name of the character Masterson in the musical comedy Guys and Dolls?,"['Uri', 'Dom', 'Sky', 'Job']",2
What popular female singer and actress played Elsa Morganthall Strauss-Almerson in the 1999 movie Tea with Mussolini?,"['Tina Turner', 'Barbra Streisand', 'Cher', 'Madonna']",2
Name the 1978 thriller in which a Nazi death-camp doctor attempts to clone Adolf Hitler.,"['Heaven Can Wait', 'The Boys from Brazil', 'Foul Play', 'Every Which Way But Loose']",1
"What was the name of Ricks cafe in the movie classic, Casablanca?","['Ricks', 'The Red Parrot', 'Rick and Sams Cafe', 'Ricks Cafe American']",3
"This is the 3rd largest city in Germany and the capital of its largest state, Bavaria.","['Hamburg', 'Nuremberg', 'Munich', 'Berlin']",2
This seemingly lifelike substance is allegedly extruded from the bodies of mediums. It can be vaporous or solid and is said to smell of ozone. What is it?,"['Plasma', 'Endoplasm', 'Cytoplasm', 'Ectoplasm']",3
WETYIAFHKLXVNM,"['top', 'none', 'neither', 'bottom']",0
"It is generally accepted that the name of these islands of volcanic origin derives from a Latin term, meaning Island of the Dogs.","['The Canary Islands', 'The Galapagos Islands', 'Corn Islands', 'The Solentiname Islands']",0
Doctor Zhivago is a character from a novel of the same name by Boris Pasternak. This is the historical background of the story in the book.,"['The USSRs collapse', 'WWII', 'Russian Revolution', 'Brezhnevs reign']",2
"This American writer and teacher became the first woman US Senator, although she occupied the position for only one day.","['Jeanne  Rankin', 'Hatie Caraway', 'Rebecca Latimer Felton', 'Nellie  Taylor Rose']",2
The best thing about being a woman,"['Mariah Carey', 'Beyonce', 'Madonna', 'Shania Twain']",3
What is the birth name of Academy Award-winning actress Jane Fonda?,"['Lady Jayne Seymour Fonda', 'Mary Jayne Seymour Fonda', 'Lady Mary Jane Fonda', 'Baby Jane Fonda']",0
"What country employs the blue color as its national sports color, as it denotes secularism?","['India', 'South Korea', 'Spain', 'Italy']",0
What album is considered to be the first rap record?,"['Public Enemys Fight the Power', 'Ike Turners Jet  88', 'Sugar Hill Gangss Rappers Delight', 'Yannick Bruynoghes Big Bills Rap']",2
"If the world were a village of 100 people, how many would be from the Eastern Hemisphere?","['72', '86', '45', '63']",1
The largest one-day decline in recorded stock market history is called Black Monday and occurred on this date.,"['September 22, 1964', 'October 19, 1987', 'December 8, 1990', 'November 23, 1982']",1
What is the name of the man that had hiccups for nearly 69 years?,"['Carl Rexfort', 'John Hannah', 'Charles Osborne', 'Rhett Milfrond']",2
The ages of many men are mentioned in The Bible. Who is the only woman whose age is mentioned in The Bible?,"['Vashti', 'Sarah', 'Ruth', 'Bathsheba']",1
In which of these everyday activities and industrial areas is gold sometimes used?,"['All of these', 'Embroidery', 'Glass industry', 'Photography']",0
"In the 1997 movie Devils Advocate, Keanu Reeves character, Kevin Lomax, starts work in John Miltons huge law firm. Which one of these actors played Milton?","['Jeffrey Jones', 'Al Pacino', 'Val Kilmer', 'Robert De Niro']",1
"How old was Cio-Cio-San, a character in Giacomo Puccinis opera, Madame Butterfly ?","['15', '20', '19', '21']",0
"What city, nicknamed The Mile-High City, is located on the plains east of the Rocky Mountains?","['Aurora, Colorado', 'Aspen, Colorado', 'Phoenix, Arizona', 'Denver, Colorado']",3
In every hierarchy each employee tends to rise to the level of his or her incompetence. What name do we give to this phenomenon?,"['The William Principle', 'The Matthew Principle', 'The Peter Principle', 'The Johnson Principle']",2
50 years of marriage are known as this.,"['Pearl anniversary', 'Diamond anniversary', 'Gold anniversary', 'Platinum anniversary']",2
What navy rank corresponds to the rank of land army General in the US military?,"['Marshal', 'Commodore', 'Admiral', 'Commander']",2
I am suffering from poliosis. What is my problem?,"['Falling of the teeth', 'Graying of the hair', 'Shortening due to cartilage deterioration', 'Slowing of ones life due to age']",1
Who invented the first working television system?,"['Thomas Edison', 'Alexander Graham Bell', 'John Logie Baird', 'Benjamin Franklin']",2
What is a doula?,"['A non-professional person who assists a woman during the time of  giving birth and during the postpartum period', 'A summer home in Russia.', 'A ballet movement', 'A highly -trained computer technician who advises web designers in the silicon-valley  of France']",0
"This English city is home to a top European soccer team, which contains the word United in its name and is nicknamed The Red Devils.","['Glasgow', 'Liverpool', 'Manchester', 'London']",2
"This word refers to the ancient art of aerodynamically stabilizing arrows from materials, such as feathers or modern plastics.","['Feathereting', 'Fletching', 'Cooperring', 'Chancelloring']",1
Who were the feuding enemies of the McCoys?,"['Earps', 'Harrisons', 'Daltons', 'Hat fields']",3
"During this year, the USA had three different Presidents.","['1841', '1864', '1844', '1973']",0
In Scandinavian mythology this is the equivalent of the apocalypse.,"['rekjavak', 'odinthorisagak', 'ragnarok', 'rasnajivarak']",2
"Sangria is a drink, traditionally served at Mexican weddings. Sangria contains all these ingredients, except one.","['Fruit juice', 'Tequila', 'Brandy', 'Wine']",1
What does lacrimation mean?,"['Psychosis', 'Shedding Tears', 'Addiction', 'Dilation']",1
This drink was invented for a party given by Winston Churchills mother.,"['The Gibson', 'The Sidecar', 'The Manhattan', 'The Sloe Gin Fizz']",2
Who does Ken accidentally kill instead of the witness in the 1988 comedy movie A Fish Called Wanda?,"['A whale', 'Wanda', 'His mother', 'Three dogs']",3
What is the name of the scary creature that was tamed in a legend about Saint Martha?,"['Tarasque', 'Yomi', 'Tarabon', 'Sphinx']",0
In 1987 he became the first football coach to have Gatorade splashed on his head.,"['Barry Switzer', 'Bill Cowher', 'Bud Grant', 'Bill Parcells']",3
"What was the name of the US Army Air Force B-29 bomber, that dropped the atomic bomb on Nagasaki, Japan on August 9, 1945?","['Enola Gay', 'Bocks Car', 'General Belgrano', 'Memphis Belle']",1
When was the first fountain pen invented?,"['1902', '1906', '1883', '1887']",2
What team became the English Premier League champion in the 2006-2007 season?,"['Liverpool', 'Manchester United', 'Arsenal', 'None of these']",1
"I decided to return home, but when I walked in the front door there was a party in progress and my choreophobia caused me to panic yet again. What was I afraid of?","['Balloons', 'Loud music', 'Dancing', 'Crowds']",2
The 1927 movie Wings was the first winner of the Best Picture Oscar. Which of these actors was in it?,"['Ray Milland', 'Gary Cooper', 'Brian Donleavy', 'Charlie Chaplin']",1
The first novel of this Nobel Prize-winning author was called Lord of the Flies. The title is a literal English translation of one of the alternate names of the Devil -- Beelzebub.,"['William Golding', 'J. R. R. Tolkien', 'Peter Sinfield', 'Steven Brust']",0
"The famous Japanese cherry trees were planted in Washington, D.C., around the Tidal Basin at the request of which US First Lady?","['Betty Ford', 'Anna Eleanor Roosevelt', 'Helen Taft', 'Lou Henry Hoover']",2
What do we call a horizontal beam used usually for support and walling over a window?,"['Purlin', 'Lintel', 'Screed', 'Kerf']",1
"This novel by Ernest Hemingway, set during World War I, is told through the point of view of Lieutenant Frederic Henry who falls in love with nurse Catherine Barkley.","['The Sun Also Rises', 'The Snows of Kilimanjaro', 'For Whom the Bell Tolls', 'A Farewell to Arms']",3
What is the correct plural form of Attorney General?,"['Attorneys General', 'Attorney Generals', 'Attorneyes Generales', 'Attorneys Generals']",0
Bazooka introduced the first bubble gum comics named Bazooka Joe. It was first introduced in this year.,"['1920', '1953', '1910', '1963']",1
What event did the terrorists target in the 1977 movie Black Sunday?,"['Super Bowl', 'Democratic Convention', 'Times Square Ball Drop', 'Macys Thanksgiving Parade']",0
Find the correct statement.,"['Irrupt means to break up.', 'Irrupt is not a real English word.', 'Irrupt means  to break in or rush in.', 'Irrupt means to come before.']",2
What was the host as well as the winner of the first Soccer World Cup which was was held in 1930?,"['Brazil', 'Italy', 'Uruguay', 'Germany']",2
We all have learned that you can tell the age of a tree by the number of rings. Who was the first to discover this fact?,"['Aristotle', 'Luther Burbank', 'Charles Darwin', 'Leonardo Da Vinci']",3
In what year did Stanley Kubrick direct his Oscar-nominated film A Clockwork Orange?,"['1971', '1970', '1972', '1969']",0
Purple is the official color of what Hawaiian Island?,"['Hawaii', 'Lanai', 'Kauai', 'Maui']",2
"This person, who became public announcer for the New York Yankees in 1951, appeared in the movies 61, It Could Happen to You,  The Scout and Anger Management.","['Joe Buck', 'Phil Rizzuto', 'Bob Sheppard', 'Michael Kay']",2
Carlton Magee invented this often-hated device.,"['The police siren', 'The parking meter', 'The income tax short form', 'The traffic light']",1
"The members of this band included Sgt. Floyd   Pepers, Janice, Zoot, Animal, and Lips.","['The  Zoot Sims Big Band', 'Dr. Teeth and Electric Mayhem', 'The Fabulous Baker brothers', 'Nylon']",1
How many pecks are there in a bushel?,"['5', '10', '2', '4']",3
Where can the Orange River be found ?,"['Turkey', 'South Africa', 'Canada', 'South Asia']",1
"Potassium iodide, sodium iodide, or sodium iodate are added to table salt in order to prevent iodine deficiency. What health problems does iodine deficiency cause?","['Skin and bone disorders', 'Adrenal gland malfunction', 'Thyroid gland disorders', 'Cardiovascular problems']",2
How many continents are owned by only one nation?,"['0', '2', '3', '1']",3
