question,choices,answer
What is known as the Vienna Hour in a traditional Sicilian wedding reception?,"['Desert course', 'Giving toasts', 'Giving wedding gifts', 'Cocktail serving']",0
"In the Waynes World movie, from where is Wayne and Garths live cable-access show broadcast?","['Waynes bedroom', 'Wayne and Garths school', 'Garths living room', 'Waynes basement']",3
What is chemophobia?,"['fear of chemicals', 'fear of trees', 'fear of amphibians', 'fear of angina or choking']",0
What was the name of George and Louise Jeffersons son on All in the Family?,"['Jamar', 'Keon', 'Lionel', 'Tyrone']",2
What is the name of the essential oil made from the blossom of the bitter orange?,"['Lavender', 'Natterdum', 'Neroli', 'Orange oilscent']",2
The Barbary Wars were  fought between the USA and pirates from this part of the world.,"['The Gulf of Mexico', 'Somalia and its coast', 'The Persian Gulf', 'The Mediterranean Coast of Africa']",3
What movie soundtrack features Seals Grammy Award-winning song Kiss from a Rose?,"['GoldenEye', 'French Kiss', 'Batman Forever', 'Braveheart']",2
What is the oldest  symphony  orchestra  in the USA?,"['The Symphony Orchestra of New   Orleans', 'The New York Philharmonic', 'The Boston Philharmonic', 'The Philadelphia  Philharmonic']",1
Which French phrase can mean tastes differ?,"['Pret-a-porter', 'Pour encourager les autres', 'Chacun a son gout', 'Idee fixe']",2
Where in the USA can you walk on a telescope?,"['New York City', 'Pasadena, California', 'Guam', 'Puerto Rico']",3
What phobia is referred as fear of houses?,"['Dishabiliophobia', 'Dysmorphophobia', 'Domatophobia', 'Doraphobia']",2
Who drew the first pollitical cartoon published in an American newspaper?,"['Ben Franklin', 'Samuel Freeman', 'Dr. Seuss', 'Thomas Nast']",0
Under  which US President were the Barbary Wars fought?,"['James K. Polk', 'Thomas Jefferson', 'William McKinley', 'Teddy Roosevelt']",1
"If the world were a village of 1000 people, how many would be from Asia?","['125', '505', '610', '450']",2
What month has the garnet for its birthstone and the snowdrop for its birth flower?,"['April', 'January', 'March', 'February']",1
"Some sources claim the youngest pope was Benedict IX (1032 A.D.), elected at this age.","['21', '9', '16', '12']",3
About how many feet are there in one kilometer?,"['1762', '3281', '5280', '2089']",1
Who directed the 1991 film The Silence of the Lambs?,"['Roman Polanski', 'Joel Coen', 'Steven Spielberg', 'Jonathan Demme']",3
"Which word means a practitioner of the martial art of Okinawan origin, karate?","['Konyico', 'Karateka', 'Sojin', 'Samurai']",1
Which one of the following is not said to be haunted by the ghost of Abraham Lincoln?,"['Fords Theatre.', 'The Lincoln Memorial.', 'The White House.', 'The family home in Springfield, Illinois.']",1
The real McCoy refers to the man who invented this.,"['The train throttle', 'The sewing machine', 'The train coupling', 'The locomotive self-lubricator']",3
Jane Addams is the founder of this movement in the United States.,"['Settlement House movement', 'Womens Rights movement', 'All of these', 'Womens Liberation movement']",0
Three of these Al Pacino movies were released in the 1970s. Which one was not?,"['The Godfather: Part II', 'The Godfather', 'Scarface', 'Serpico']",2
Under what name is the Mr. Clean brand name known in Germany?,"['Mister Sauber', 'Herr Steril', 'Mr. Wunderbar', 'Meister Proper']",3
What is the name of the first full length movie to use color?,"['A Visit to the Seaside', 'The World, the Flesh And the Devil', 'The Raven', 'The Coward']",1
Who lost the Battle of Marathon?,"['Xerces I', 'Darius I', 'Cyrus I', 'Parimedes']",1
Which team won the second World Series between the National League and the American League?,"['Pittsburgh Pirates', 'New York Giants', 'Providence Grays', 'New York Metropolitans']",1
"If the world were a village of 100 people, how many would live in substandard housing?","['80', '20', '40', '60']",0
How much did the USA pay Russia for Alaska?,"['$72 million', '$720 million', '$720,000', '$7.2 million']",3
"If the world were a village of 1000 people, how many would be teachers?","['7', '16', '89', '36']",0
What was name of the evil cat in Disneys version of Cinderella?,"['Sneaky Pete', 'Satan', 'Old Snakeeyes', 'Lucifer']",3
What was the name of Ghana before the country gained its independence?,"['The Belgian Congo', 'Ivory Coast', 'The Gold Coast', 'Limpopo']",2
Listen to the audio and name the performer.,"['Phil Collins', 'David Bowie', 'John Lennon', 'Freddie Mercury']",1
How many legs does a spider have?,"['8', '6', '4', '10']",0
Who is Cat Woman?,"['Samantha Wayne', 'Pam Isley', 'Sarah Connor', 'Selina Kyle']",3
"The calendula, or marigold and the opal are the symbols of this month.","['November', 'October', 'February', 'June']",1
What is the Jewish New Year called?,"['Rosh Ha-Shanah', 'Yom Kippur', 'Shabbat', 'Hanukkah']",0
Researchers in England found this to be true of  blond cashiers in supermarkets.,"['Have frequent technical issues with the registers', 'Gather greater queues', 'Receive more tips from customers', 'Have higher chances of not balancing the register at the end of the day']",1
Where do the lead singer and his wife live in one of the freecreditreport.com ads?,"['at a traveling Renaissance Faire', 'a pleasant suburb', 'in the back of a fish n chips restaurant', 'in the basement of her mom and dads']",3
In which film did Pywackett appear?,"['Bell, Book and Candle', 'The Cats in the Cradle', 'The Golden Cat of Atlantis', 'Old Possums Books of Cats']",0
Which one of Dr. Seusss famous characters said Save the Trees !!! Let em Grow ! ?,"['Horton', 'Sam-I-Am', 'the Cat in the Hat', 'the Lorax']",3
When was the Euro currency first launched?,"['January 1990', 'January 1985', 'January 1994', 'January 1999']",3
"In Major League Baseball, who was the first pitcher to win 200 games in his career?","['A.G.Spaulding', 'Walter Johnson', 'Cy Young', 'Babe Ruth']",0
During The Restoration period blond hair became a symbol of this.,"['Stupidity', 'High class', 'Intelligence', 'Prostitution']",3
What American female singer and actress makes a brief appearance in the 1999 comedy American Pie?,"['Fergie', 'Mariah Carey', 'Christina Milian', 'Cassie']",2
"Which statement below, concerning even numbers, is true?","['There are no even irrational numbers', 'There are no even cardinal numbers', 'There are no even prime numbers', 'There are no even perfect numbers']",0
"According to a popular 1960s slogan, where would you meet the nicest people?","['At the AMC theaters', 'On a Honda', 'At Macys', 'In Las Vegas']",1
These two states have Miami Universities.,"['Florida and Georgia', 'Florida and Ohio', 'Florida and Alabama', 'Florida and North Carolina']",1
"This word is a collective noun, which means a group of ferrets.","['bevy', 'fesnyng', 'charm', 'leash']",1
"In 1983, riding on board the Challenger, she became the first American woman in space.","['Judith Resnik', 'Jerrie Cobb', 'Sally Ride', 'Sharon Christa McAuliffe']",2
The color called sepia is a shade of this color.,"['Silver', 'Brown', 'Navy', 'Plum']",1
In which US state is the Bicycle Museum of America located?,"['Ohio', 'Indiana', 'Massachusetts', 'North Carolina']",0
Which is the only food that never spoils?,"['Honey', 'Potatoes', 'Pasta', 'Peanut butter']",0
Who is regarded as the first professional (American style) football player?,"['William Heffelfinger', 'Red Grange', 'Jay Berwanger', 'Jim Thorpe']",0
How many stripes are on the American Flag?,"['11', '13', '15', '12']",1
"Matt Groening, the creator of The Simpsons, grew up on a street named what?","['Main Street', 'Springfield Boulevard', 'Simpson Street', 'Evergreen Terrace']",3
Who is listed as the richest person in the world on the 2009 Forbes list?,"['Carlos Slim Helu', 'Lawrence Ellison', 'Warren  Buffett', 'Bill Gates']",3
What was the first nation to field a battle tank?,"['The USA', 'Germany', 'Austria-Hungary', 'Britain']",3
"In 1897, American scientist John Jacob Abel was able to isolate which of the following?","['cocaine', 'adrenaline', 'ACTH', 'human growth hormone']",1
"The birthstone of this month is the emerald, and its birth flower is Lily of the Valley.","['May', 'July', 'September', 'November']",0
What was special about the playing cards that were given to British pilots in World War II?,"['They secretly listed safe houses to hide in.', 'They contained the code words to alert British RAF headquarters about anti-aircraft emplacements.', 'They turned into maps.', 'They had very sharp edges so they could be used as weapons.']",2
What group was popular in the 1960s with the hits Yummy Yummy Yummy and Chewy Chewy?,"['Velvet Underground', 'The Rolling Stones', 'The Ohio Express', 'The Beatles']",2
"What title did Sarah Ferguson assume upon marrying Queen Elizabeth IIs second son, Prince Andrew?","['Duchess of Edinburgh', 'Princess Royal', 'Duchess of York', 'Princess of York']",2
As a cheaper substitute for which of these precious stones is the synthetic cubic zirconia used?,"['Peridot', 'Goshenite', 'Diamond', 'Opal']",2
"This film style, generally used by film-makers with low budgets, originated in Denmark.","['Dogma', 'Comedy', 'Surrealism', 'Film Noir']",0
All of these French writers were born before 1900 except one.,"['Alexandre Dumas', 'Simone de Beauvoir', 'Marcel Proust', 'Gustave Flaubert']",1
"According to the religion of Sikhism, it is every Sikhs duty to defeat what five vices?","['Religious zealots, political zealots, money lending, sexual allurement and gluttony', 'Alcohol, pork, money, gold, and diamonds', 'Ego, anger, greed, attachment, and lust', 'Drunkenness, lewdness, murder, rape and theft']",2
Who is Mother Gooses cat in the self-titled newspaper comic strip?,"['Princess', 'Angel', 'Attila', 'The Duchess']",2
"What was the currency of the Netherlands, before the adoption of the euro?","['Gulden', 'Dinar', 'Krona', 'Florin']",0
What award was given to President George W. Bush in 2004?,"['The Stillman Award for Leadership', 'The Raspberry Award for worst leading actor', 'The Hendley Award for Great Americans', 'The Thurbridge Award  for Freedom']",1
She is regarded as the most famous blonde of all times.,"['Marlene Dietrich', 'Eva Brown', 'Marilyn Monroe', 'Madonna']",2
What is the correct formal name of the country known as the UK?,"['United Kingdom of Great Britain and Northern Ireland', 'Great Britain', 'United Kingdom of England, Scotland, Wales and Northern Ireland', 'Union of Kingdoms of England and Scotland']",0
To remove gum from clothes or other fabrics you should apply this first.,"['Hot iron', 'Ice cube', 'Oil', 'Butter']",1
What medical term refers to the fear of horses?,"['Heliophobia', 'Iatrophobia', 'Equinophobia', 'Dendrophobia']",2
Which one of the Great Lakes is situated entirely within the United States?,"['Lake Michigan', 'Lake Erie', 'Lake Huron', 'Lake Superior']",0
The fictional USS Echo was commanded by Lieutenant Rip Crandall. Who was the first mate?,"['Wilbur F. Vandewater', 'Tommy J. Hanson', 'Warren Berlington', 'Josh Davidson']",1
What term means fear of skin diseases?,"['Dextrophobia', 'Dermatosiophobia', 'Dermatophobia', 'Dentophobia']",1
"This became the longest running Broadway play on 9 January, 2006 .","['Phantom of the Opera', 'The Fantasticks', 'Les Miserables', 'Mouse Trap']",0
In which category did Krishna Bhanji win an Academy Award in 1982?,"['Best Director of a Foreign Film', 'Video Engineering', 'Sound Direction', 'Best Actor']",3
"Which battleship was used by the US Navy during World War II, the Korean War, and the Vietnam War?","['USS New Jersey (BB-62)', 'USS Arizona (BB-39)', 'USS Missouri (BB-63)', 'USS Iowa (BB-61)']",0
What is Willem J. Kolff credited for inventing?,"['Artificial kidneys and artificial heart', 'Computer', 'Heart-Lung machine', 'CAT scan']",0
In what year did the color burnt orange get its name?,"['1915', '1920', '1913', '1923']",0
"What did George Crum invent at the Moon Lake Lodge resort in Saratoga Springs, New York?","['The remote control locator', 'The potato chips', 'Bookshelf speakers', 'The 56K modem']",1
Who was the first official Postmaster General of the United States?,"['Ulmer Pierce Smith', 'John Jay', 'Samuel Osgood', 'Ben Franklin']",2
What is a moirologist?,"['A well-dressed woman', 'A stutterer or stammerer', 'Someone paid to mourn at a funeral', 'A trademark used as a generic term']",2
Which collective noun denotes a group of storks?,"['a rafter', 'a mustering', 'a smack', 'a flight']",1
"By act of Congress, this is the official alcoholic spirit of the USA.","['Corn liquor', 'Gin', 'Rye', 'Bourbon']",3
One of the following pairs (month - the gem associated with it) is wrong.,"['February - Peridot', 'December - Turquoise', 'March - Aquamarine', 'June - Pearl']",0
This word means a detailed record of a persons life.,"['Denouement', 'Dreeour', 'Dossier', 'Deluge']",2
Where is the Louisiana Museum of Modern Art?,"['Denmark', 'New Orleans, Louisiana', 'Batob Rouge, Louisiana', 'Shreveport , Louisiana']",0
Which statement is true about Charles Furnas?,"['He was the designer of the Wright Brothers first plane.', 'He was the first passenger on an airplane.', 'He was the pilot of the first jet fighter.', 'During World War I, he became the first man to shoot down a plane during a war.']",1
Who popularized the song Unforgettable in 1951?,"['Nat King Cole', 'Humphrey Bogart', 'Dean Martin', 'Frank Sinatra']",0
Of which major city was Tammany Hall the leading political power brokers?,"['New York', 'Boston', 'Detroit', 'Chicago']",0
Which African American invented the traffic light?,"['Otis Boykin', 'Garrett Morgan', 'Lewis Latimer', 'George Washington Carver']",1
Which is an example of a spoonerism?,"['Round and round the ragged rock the ragged rascal ran.', 'Able was I ere I saw Elba.', 'He is at  the pineapple of his career.', 'It is kisstomery to cuss the bride.']",3
Which sport is mentioned in Shakespeares Henry V?,"['Tennis', 'Golf', 'Bowling', 'Darts']",0
Why are Cipriano dela Valera and Casiodoro de Reina famous in the Spanish-speaking world?,"['They are responsible for the first translation of  Don Quixote into English.', 'They are responsible for the most popular Spanish version of the Bible.', 'They are the publishers of the top-selling Spanish-language newspapers in  the USA.', 'They are the top stars of Spanish-language television in the USA.']",1
Jose Raul Capablanca of Cuba was the first person from the Western Hemisphere to do what?,"['Be President of the U.N. General  Assembly', 'Win the World Chess Championship', 'Win an Olympic  baseball game', 'Win the Nobel Prize for Literature']",1
"This group, formed in the late 1930s, are known for the song If I Didnt Care.","['The Ink Boys', 'The Ink Spots', 'The Ink Sounds', 'The Ink Brothers']",1
"If the world were a village of 100 people, how many would be white?","['18', '37', '32', '25']",0
How was the FIFA World Cup Won in 2006?,"['None of these', 'The winner was decided by the end of the regular time.', 'penalty kick shootout', 'One team won in overtime.']",2
How do mermaids enchant people according to legends and myths?,"['By sprinkling them with magic powder', 'By dancing', 'With their eyes', 'By singing']",3
What is the official residence of the French Prime Minister?,"['Hotel Jacques Santer', 'Hotel Poos', 'Hotel Christia Grobet', 'Hotel Matignon']",3
What are the numbers on a dartboard that flank 17?,"['16 and 11', '0 and 7', '2 and 3', '18 and 13']",2
"What did the American Airlines Flight 965 crash into on December 20, 1995 in Colombia?","['Another plane', 'Mountain', 'Village', 'Skyscraper']",1
A fire killed over 1600 people in 1845 in what Chinese city?,"['Hong Kong', 'Guangzhou (Canton)', 'Beijing', 'Shanghai']",1
Who is the crime-solving cat hero of the Rita Mae Brown books?,"['Mrs. Murphy', 'Old Deuteronomy', 'Tucker Tee', 'Mama Morton']",0
Which term means fear of spiders?,"['Xanthophobia', 'Vitricophobia', 'Zelophobia', 'Arachnophobia']",3
Where is the Songwriters Hall of  Fame located?,"['Detroit , Michigan', 'New York City, NY', 'Las Vegas, Nevada', 'Chicago, Illinois']",1
What did the Byzantine empresses do in the Purple Chamber?,"['Give Birth', 'Have their wedding night', 'Rest in to be seen by others during their final days of life', 'Get Married']",0
Who is the author of the novel East of Eden?,"['Steven Spielberg', 'Elia Kazan', 'John Steinbeck', 'Eugene ONeill']",2
What is lethologica?,"['Any  word used incorrectly in a sentence.', 'A physical disease in which the patient does not have enough energy to speak', 'A psychological disease first identified as a serious condition by Carl Jung', 'A religious practice involving saying certain Biblical names to counter a sin.']",2
What does a la crecy  mean?,"['Served with butter', 'Served with sauce', 'Served with carrots', 'Served with cheese']",2
Which anatomical term defines the midline groove connecting the upper lip to the nose?,"['Tachyon', 'Edaphadium', 'Serein', 'Philtrum']",3
This novel written by German author Herman Hesse was published in 1922.,"['Nirvana', 'Siddhartha', 'Sartaka', 'Samsara']",1
Which country had the largest prison population for 2006?,"['The United States', 'Turkey', 'Peoples Republic of China', 'Nigeria']",2
"On average, a 4-year-old child asks approximately this number of questions a day.","['126', '371', '74', '437']",3
This British car manufacturer produces high performance vehicles. The company was founded in 1989.,"['Land Rover', 'Rolls-Royce', 'Jaguar', 'McLaren']",3
What did French engineer Louis Reard invent in 1946 ?,"['the first complete fossil of a triceratops', 'the oversized catchers mitt', 'the chemical test for prostate cancer (The PSA test)', 'the Bikini']",3
"The Peace Symbol, which became an icon of the 1960s anti-war movement, derives from what?","['a slightly twisted cross', 'None of these', 'two semaphoric signals', 'an image of a nuclear bomber']",2
What long-running radio and television police drama was created by and starred Jack Webb?,"['Dragnet', 'Desperate Housewives', 'Deadwood', 'Dynasty']",0
"According to Japanese folklore, this kind of fox is unusual and has special abilities.","['Kitsune', 'Nuckalavee', 'Gamera', 'Ghidorah']",0
"In this language, jo reggelt means good morning and Beszel angolul means Do you speak English?","['Romanian', 'Hungarian', 'Russian', 'Croatian']",1
Woody and Buzz Light Year are characters from this video game based on a Disney movie.,"['Jump In!', 'Toy Story', 'Camp Rock', 'Planet 51']",1
What is the name of the Pixar-created family of superheroes?,"['The Incredibles', 'X-Men', 'The Justice League', 'Fantastic Four']",0
Who was the second US President  to face impeachment?,"['William Blount', 'Andrew Johnson', 'Richard Nixon', 'William Clinton']",3
"In what form is gold added to some expensive dishes, especially sweets and drinks?","['Gold leaf', 'Gold flakes', 'All of these', 'Gold dust']",2
Who was drafted by the Orlando Magic as the 1st overall pick in the 1992 NBA draft?,"['Shaquille ONeal', 'Christian Laettner', 'Alonzo Mourning', 'Anfernee Hardaway']",0
"In 2008, how many nations had aircraft carriers either sea worthy or under construction?","['14', '9', '2', '20']",1
"In Hindu thought, how was Krishna killed?","['By poisoning by Shiva', 'By the abominations of mankind', 'By an arrow into his heel', 'By a knife into his heart']",2
What is a bibliopole?,"['Someone who buys books', 'Someone who loves books', 'Someone who hates books', 'Someone who sells books']",3
What phobia is characterized by fear of pins?,"['Entomophobia', 'Ephebiphobia', 'Enetophobia', 'Emetophobia']",2
Who or what is Vinson Massif?,"['Sanitations third cousin, twice removed', 'The third king of Sweden', 'The tallest mountain in Antarctica', 'a muscle in the human body']",2
Who made the first chocolate bar?,"['J. S. Fry  Sons', 'Nestle', 'Mars', 'Hershey']",0
"This lawyer-turned senator, who has the power of flight without machinery, is a character on Heroes.","['Nathan Petrelli', 'Andy Pasdar', 'Clark Bennett', 'Gabriel Gray']",0
What was the first play Shakespeare wrote?,"['The Tempest', 'A Midsummers Night Dream', 'Hamlet', 'Henry VI, Part One']",3
Whose real name was Leonard Sly?,"['Roy Rogers', 'Leonardo DiCaprio', 'Gerald Ford', 'Leonard Nimoy']",0
"Sound travels one mile in five seconds in the air, and one mile in how many seconds under water?","['ten seconds', 'five seconds', 'one second', 'fifteen seconds']",2
The fictional USS Sea Tiger was captained by Lt. Cmdr. Matt T. Sherman. Who was the first mate?,"['Lt. (j.g.) Nicholas Holden', 'Chief Molumphry', 'Ens. Stovall', 'Lt. Dolores Crandall']",2
"In ancient times, which stone was believed to protect from drunkenness?","['amethyst', 'ruby', 'emerald', 'onyx']",0
"Excluding Englands cities, which city built the first subway in Europe?","['Rome', 'Paris', 'Budapest', 'Barcelona']",2
What was the first Broadway comedy to run for over 5500 performances?,"['Grease', 'Hello Dolly', 'Oh! Calcutta', 'Drat, the Cat']",2
Which set of numbers is most significant to baseball?,"['3,4,9', '1,83,26', '9,13,26', '1,7,17']",0
This US city is located at the confluence of the Mississippi River and the Ohio River.,"['Cairo, Illinois', 'Pittsburgh, Pennsylvania', 'Chicago, Illinois', 'Memphis, Tennessee']",0
What other name is commonly used to refer to sweet and sour sauce in China?,"['The red delight', 'The peoples sauce', 'The two opposites in one', 'Woman and man sauce']",1
What country is the largest consumer of gold in the world?,"['South Africa', 'India', 'United Arab Emirates', 'China']",1
"If the world were a village of 100 people, how many would be illiterate?","['70', '50', '40', '60']",0
"Which Hall of Fame is located in Oklahoma City, Oklahoma ?","['Sooner Hall of Fame', 'Cowboy Hall of Fame', 'College Football hall of Fame', 'Oil Industry Hall of Fame']",1
Where  would  you  find The Book of Kells?,"['Glasgow, Scotland', 'Edinburgh, Scotland', 'Next to the Book of Durrow', 'Next to the Blarney Stone']",2
"In this movie Eminem plays the main character, whose name is Jimmy B-Rabbit Smith, Jr.","['Torrance Rises', 'The Wash', '8 Mile', 'The Slim Shady Show']",2
Exactly one of these statements is true. Which one is true ?,"['Acids have a pH greater than 6.', 'The garter snake lays eggs.', 'Chickens do not have to be impregnated to lay eggs.', 'Pure water has a pH of exactly 1']",2
What was the second  song played on MTV?,"['You Better Run', 'Hit Me With Your Best Shot', 'Video Killed the Rock Star', 'Radio Killed the Video Technician']",0
The first couple to be shown in bed together on prime time television was this.,"['Johnny and Mary Kay Stearns', 'The Simpsons', 'The Jetsons', 'The Adams']",0
How many stanzas is The Philippine National Anthem composed of?,"['4', '6', '7', '5']",3
The animals from which group are often called sea cows?,"['Enhydra', 'Odobenidae', 'Sirenia', 'Otariidae']",2
Who was the first person to be crowned Czar of Russia?,"['Nicholas III', 'Alexander IV', 'Ivan the Terrible', 'Mikhail Romanov']",2
All of these gadgets belong to James Bond except one.  Can you spot it?,"['Batarang', 'Cigarette lighter (a disguised timed explosive)', 'Polarizing Sunglasses', 'Phone Booth Trap']",0
"If the world were a village of 100 people, how many would be homosexual?","['1', '31', '21', '11']",3
"Elliott Coues, William Brewster and Joel Asaph Allen founded this union in September 1883.","['American Botanists Union', 'American Naturalists Union', 'American Ornithologists Union', 'American Zoologists Union']",2
"The slogan of this Japanese car make, founded on September 24, 1948, is The Power of Dreams.","['Nissan', 'Suzuki', 'Honda', 'Yamaha']",2
How many men held the title King of England in 1936?,"['1 - George V', '3 -  George V, Edward VIII, and George VI', '2 -  Albert II and George VI', '0 - There was a queen']",1
"What is the main symptom of the uncommon blood disorder, known as methemoglobinemia?","['10% greater blood volume than normal', 'Bluish complexion of the skin', 'Abnormally enlarged lungs', 'Faster breathing because of lack of haemoglobin']",1
