question,choices,answer
We watch TV thanks to which of these processes forming light?,"['Fiboluuminescence', 'Bioluminescence', 'Cathodoluminescence', 'Sololuminescence']",2
What is the predominant mood of a person with anxiety?,"['Anger', 'Sadness', 'Fear', 'Loneliness']",2
The implementation of MPAs is one way to protect the coral reefs from destruction. What does MPA stand for in this context?,"['Marine Preservation Act', 'Magnetospheric Plasma Analyzer', 'Mammal Protection Act', 'Marine Protected Area']",3
Mr. A  picks three cards from a 52-card deck. Mr. B rolls a pair of dice once. Mr. C rolls three dice. Mr. A must pick three aces. Mr. B must roll a 13. Mr. C must roll a  two. Who has the best odds?,"['Mr. A', 'The odds are equal', 'Mr. C.', 'Mr. B']",0
"Miranda, Ariel, Umbriel, Titania, Oberon, Caliban, and Sycorax are names of the icy moons of this planet.","['Uranus', 'Jupiter', 'Saturn', 'Venus']",0
Which factor ensures that many of the craters on the Moons surface remain well preserved in comparison to those on Earth?,"['The strong solar rays', 'The rotating movement', 'The lack of atmosphere', 'The influence of Earths gravity']",2
"When Dr. Craig Venters private company, Celera, declared that they would beat the Human Genome Project in sequencing all human DNA, what did Venter tell Dr. Francis Collins, director of the HGP?","['The private sector always wins.', 'You can do mouse.', 'Just send me all your grant money.', 'Why dont you try something easier?']",1
Containers used for disposing of needles and other sharp objects must be all of the following except which one?,"['Disposable', 'Clearly Marked bio-hazard', 'Puncture resistant', 'Recyclable']",3
What is the exact meaning of the term epiparasite?,"['A specific type of parasite that lives in the human skin', 'A parasite that is actually beneficial for its host', 'An external parasite that lives on the outside of its hosts body', 'A parasite whose host is another parasite']",3
"The word phlebo is of Greek origin, which comes from the root phlein, meaning to gush or to overflow.  What part of the body does this word refer to?","['Aorta', 'Arteries', 'Capillaries', 'Veins']",3
It was the Internets progenitor and the first large geographically separated network.,"['ARPANET', 'NSFNET', 'UUCP', 'CSNET']",0
How many hours approximately does an eggshell formation take in an average laying hen?,"['About 48 hours', 'About 5 hours', 'About 20 hours', 'Less than 2 hours']",2
What is the chemical symbol for Uranium?,"['Ua', 'U', 'Ur', 'Un']",1
What kind of pearls are the so-called Keshi pearls?,"['Very rare natural pearls found only in one place on the planet.', 'Cultured pearls that are very large and precious', 'Fake pearls that are almost indistinguishable from natural pearls', 'Pearls that are produced accidentally, but are not considered natural']",3
"In the US, Medicare Part B is primarily coverage for which of the following?","['Hospital admissions', 'Medications', 'Non-hospital services', 'Dialysis']",2
"When burning fuel for energy, small particles are thrown into the air that are visible in the form of smoke.  It is called this type of pollution.","['Outdoor pollution', 'Water pollution', 'Indoor pollution', 'Black carbon pollution']",3
The name of which country is derived from the Latin word for silver?,"['Ecuador', 'Argentina', 'El Salvador', 'Albania']",1
The first recorded successful operation to separate a pair of conjoined twins took place in this year.,"['1889', '1976', '1689', '1989']",2
"Which term refers to the cephalic disorder, characterised by absence of the celebral hemispheres?","['ethmocephaly', 'lissercephaly', 'anencephaly', 'hydranencephaly']",3
What process does the edible seaweed called Wakame accelerate according to studies?,"['Healing of wounds', 'Cell growth', 'Burning of fat', 'Delivery of the baby']",2
"The term hurricane indicates a tropical storm which occurs in the northern hemisphere, whereas this term refers to the southern hemisphere.","['Disturbance', 'Typhoon', 'Depression', 'Cyclone']",3
What unit is used in the metric system for measuring time?,"['the second', 'the Ohm', 'the grad', 'the cell phone']",0
Lipitor and Zocor are two popular brand names which fall under what class of cholesterol lowering drugs?,"['Statins', 'Citrates', 'Hydrochlorides', 'Aminoketones']",0
What type of anatomical structures does the Circle of Willis consist of?,"['Arteries', 'All of these', 'Veins', 'Neurons']",0
The horse of what fictional hero is called Tornado?,"['Don Quixote', 'Zorro', 'Don Juan', 'dArtagnan']",1
Do you know what TCP stands for?,"['Transfer Control Protocol', 'Time Control Protocol', 'Turbo Connection Protocol', 'Transmission Control Protocol']",3
What Greek mythological figure flew too close to the sun with his wings made of wax?,"['Pasiphae', 'Ariadne', 'Daedalus', 'Icarus']",3
What does WFM mean when used in instant messaging?,"['works for me', 'works for money', 'white female methodist', 'with fond memories']",0
"This planet is has the largest  group of moons - 31, but it is best known for its ring system.","['Neptune', 'Mars', 'Saturn', 'Venus']",2
This was the first popular WWW browser. Microsofts Internet Explorer is also based on it.,"['Opera', 'lynx', 'NCSA Mosaic', 'Netscape Navigator']",2
What computational device was designed by Charles Babbage?,"['Difference Engine', 'Abacus', 'Pascaline', 'Holleriths Punch Card']",0
"The group of nutrients at the base of the Food Pyramid contains breads, grains, cereals, and pastas, so these foods should predominate in our diet. Which of these represents one serving from this group?","['1 donut', '1/2 cup cooked cereal', '2 slices of bread', '4 cookies']",1
In what part of the human body are the cords of Billroth located?,"['Diaphragm', 'Spleen', 'Heart', 'Larynx']",1
"This ancient Greek philosopher, who taught Alexander the Great, wrote a book on zoology entitled History of Animals.","['Aristotle', 'Plato', 'Socrates', 'Democritus']",0
Io and Europa are two of the larger satellites of which Solar System planet?,"['Pluto', 'Venus', 'Saturn', 'Jupiter']",3
How long does it take Saturn to complete one orbit around the Sun?,"['just over 20 years', '18 years exactly', 'about 15 years', 'just under 30 years']",3
What important work connected to color theory did the international group of experts known as the Commission Internationale de leclairage (CIE) create in 1931?,"['Mapped the frequency of basic colors in the spectrum', 'Developed a mathematical model of color', 'Developed the color model of the universe', 'Defined the primary, secondary, and tertiary colors']",1
"In this year massage therapy and bodywork were officially offered for the first time as a basic medical service, in Atlanta, GA.","['1990', '1999', '1996', '1987']",2
Which line contains only names of people who have or had AIDS?,"['Jim Morrison, Bob Marley', 'Magic Johnson, Isaac Asimov', 'Tony Richardson, Kurt Cobain', 'Freddie Mercury, Jimi Hendrix']",1
"It is interesting to note that contrary to popular belief, by scientific definiton, there were no dinosaurs of this type.","['flying dinosaurs', 'neither flying nor marine dinosaurs', 'cold-blooded dinosaurs', 'marine dinosaurs']",1
A ionic compound with H (hydrogen) in the front is most likely to be which of the following?,"['acid', 'base', 'water', 'indicator']",0
Aristotle believed these two scientific fields had nothing in common.,"['Mathematics and physics', 'Zoology and human anatomy', 'Geometry and arithmetic', 'Philosophy and psychology']",0
How many separate rings does the planet Uranus have according to observations made with the Hubble Space Telescope in 2005?,"['7 rings', 'Uranus does not have any rings.', '13 rings', '5 rings']",2
The term rigor mortis means this.,"['Stiffness of death', 'Swollen corpse', 'Blue corpse', 'Blue death']",0
What is the planet Uranus named after?,"['The Egyptian god of the sky', 'The Roman god of the sky', 'The Greek god of the sky', 'The Babylonian god of the sky']",2
"This group of alloys, which is a combination of at least one metal and one or more other elements, is used to clad fuel rods in nuclear plants.","['Amalgam', 'Zircaloy', 'Hastelloy', 'Electrum']",1
Sourness is a taste that is a proof of which of the following properties of substances?,"['Temperature', 'Toxicity', 'Ionization', 'Acidity']",3
"In a 1976 thriller, as Sir Laurence Oliviers character drills into Dustin Hoffmans characters unanesthesied tooth, he asks Hoffmans character this question.","['Is it safe?', 'Will they come?', 'Where are the jewels?', 'Where?']",0
"The surface temperature of the Sun is 5,780 K, which makes it white.  Why does the Sun appear yellow from the surface of the Earth?","['due to the electromagnetic radiation', 'because of the distance the light travels', 'because of the blue color of the sky', 'because of our eyes inability to see light  in that range']",2
"What kind of therapy is the Tui na, used in traditional Chinese medicine?","['Sauna', 'Music therapy', 'Massage', 'Tea therapy']",2
This is the most diverse and abundant group of organisms on Earth. Its members reproduce so fast that they can double their number as quickly as every 10 minutes.,"['Bacteria', 'Viruses', 'Algae', 'Fungi']",0
The mathematical constant Pi can be approximated by taking a series of polygons inscribed in a circle and a series of polygons circumscribed around the circle.  Who was the first to write of this method of calculating pi?,"['Carl Friedrich Gauss', 'Archimedes', 'Sir Isaac Newton', 'Euclid']",1
Which one is not a name of a Galilean moon revolving around Jupiter?,"['Io', 'Athena', 'Europa', 'Callisto']",1
Fungi are crucial for the production of which of these foods?,"['Ketchup', 'Bread', 'Cheese', 'Creme']",1
"This engineer, called the father of supercomputing, has been credited with creating the supercomputer industry.","['Seymour Gray', 'Charles Babbage', 'Bill Gates', 'Steve Jobs']",0
In what part of the human body are Von Ebners glands located?,"['Skin', 'All of these', 'Nasal cavity', 'Tongue']",3
What is the term for the points in the lunar cycle when the tides range is minimal?,"['Ebb Tide', 'Adoble Tide', 'Perigean Tide', 'Neap Tide']",3
The atoms of which type of chemical elements have a complete set of valence electrons - 8?,"['Noble gases', 'Chlorides', 'Salts', 'Alkali metals']",0
How many eggs are in 1 gross?,"['144', '96', '12', '48']",0
How many bones is an adults human skeletal system made up of?,"['132', '318', '206', '354']",2
What is the name of the largest known pearl on the planet?,"['Pearl of Allah', 'Pearl of Lao Tze', 'Pearl of Lao Tzu', 'All of these']",3
"Of these roof types, which one is least likely to have gables?","['Pitched Roof', 'Gambrel Roof', 'Cat Slide Roof', 'Hipped Roof']",3
What is the temperature of the core of the sun?,"['15,000,000 degrees Celsius', '70 degrees Celsius', '15,000,000 degrees Fahrenheit', '1,000 degrees Kelvin']",0
How many natural satellites does Jupiter have?,"['18', '56', '63', '60']",2
"In physics and chemistry, which isotopes are considered stable?","['Isotopes that are in a bond', 'Isotopes that are not radioactive', 'Isotopes in which the number of electrons, protons and neutrons is equal', 'Isotopes that do not form bonds']",1
"If your cell phone runs out of power, this gadget will come to the rescue. Just plug it into your mobile phones charging port and turn the crank.","['Manual Cranker Battery', 'New Cell Phone', 'Lithium Battery Generator', 'SOS Charger']",3
What is the hottest part of the computer?,"['Fan', 'RAM', 'CPU', 'Hard Drive']",2
The production of the hormone melatonin is inhibited by light and permitted by darkness. In which part of the body is it produced?,"['Gastrointestinal tract', 'All of these', 'Retina', 'Pineal gland']",1
