question,choices,answer
"If an object scatters light in all wavelengths, what color does it appear to be?","['White', 'Transparent', 'Black', 'Invisible']",0
In which time zone would you find the state of West Virginia?,"['Central', 'Pacific', 'Mountain', 'Eastern']",3
What computational device was invented in 1617?,"['Abacus', 'Napiers bones', 'Jacquards Loom', 'Analytical engine']",1
In atomic physics what does the term magnetic moment refer to?,"['The moment in which an atom enters a magnetic field', 'A miniature slice of time in an atoms magnetic interaction with other particles', 'The magnetic field produced by an atom', 'The moment in which an atom becomes magnetized']",2
"Nutritionally, eggs are considered a good source of what?","['Vitamin C', 'Fiber', 'Niacin', 'Protein']",3
This is the most recommended activity that helps prevent or fight obesity.,"['Quitting alcohol', 'Getting exercise', 'Eating salads only', 'Drinking a lot of water']",1
Every day this number of species of plants and animals become extinct.,"['140 - 200', '50 - 100', '250 - 350', '10 - 20']",1
"The Lilium plants, commonly known as lilies, are extremely toxic to this animal.","['Dog', 'All of these', 'Sheep', 'Cat']",3
Which letter of the alphabet is also the name of a popular computer programming language?,"['E', 'C', 'B', 'A']",1
"This American oil driller, dug the first modern oil well near Titusville, Pennsylvania in 1859.","['Robert Kerr', 'Frank Phillips', 'Edwin Drake', 'Edward Doheny']",2
What continent is the aardvark native to?,"['Australia', 'America', 'Africa', 'Asia']",2
At how many approximate degrees does Venus appear from the sun?,"['78', '35', '46', '55']",2
Why are recoilless guns recoilless?,"['Their barrels are open at both ends.', 'They are loaded with missiles not cannon balls.', 'They are made of  very heavy metals.', 'They are not placed on wheels.']",0
Who was the first person to orbit the Earth?,"['Georgi Dobrovolski', 'Yuri Gagarin', 'Neil Armstrong', 'Kerim Kerimov']",1
What does dactylology study?,"['rocks', 'the moon', 'fingerprints', 'caves']",2
Which type of blood cells can be stored the longest?,"['Platelets', 'Blood plasma', 'Erythrocytes (red blood cells)', 'Leukocytes (white blood cells)']",2
What does the abbreviation AIDS actually stand for?,"['Acute immune deficiency symptom', 'Acquired immune deficiency syndrome', 'Acute immune deficient syndrome', 'Acquired immune deficient symptom']",1
What type of weather pattern on Mars can obscure the surface from view?,"['Thunder Storms', 'Dust Storms', 'Hurricanes', 'Snow Storms']",1
"The source of the Amazon, the widest river in the world, is located in this area of Peru.","['Arequipa', 'Lima', 'Juliaca', 'Calillona']",3
What makes retroviruses such as HIV so unusual with respect to DNA?,"['Their DNA reads 3 to 5, the opposite direction from cellular DNA.', 'They capture the cellular DNA and transfer it to other cells.', 'They have no DNA, but their protein components directly encode for RNA.', 'They start with RNA and encode DNA, the reverse of what cells do.']",3
"In 1956, Tennessee businessman David Flexer had this great idea.","['Have airlines transport packages on long  flights', 'Show movies on airline flights', 'Build a supersonic airplane', 'Have floatation devices aboard airline flights']",1
"These substances, present in some essential oils, slow down the development of bacteria.","['Bacterising', 'Bacteriostopping', 'Bacteriostatic', 'Bactericidal']",2
This country has more Internet Service Providers than any other non-English speaking country.,"['Russia', 'Czech republic', 'Romania', 'Brazil']",1
Which statement concerning whales is true?,"['All whales have two blow holes.', 'Some whales have one blow hole and some have two.', 'Every whale has exactly one blow hole.', 'Only some whales have blow holes.']",1
"Marijuana is known by many names, including all of these but one. Which is the odd name?","['Mary Jane', 'Weed', 'Pot', 'Janu']",3
Ambien (zolpidem) is used to treat which one of the following conditions?,"['Migraine', 'Diabetes', 'Peripheral Neuropathy', 'Insomnia']",3
According to the color theory what should red paint look viewed under blue light?,"['Transparent', 'Black', 'White', 'Purple']",1
What distinction does Dennis Tito hold?,"['He was the first tourist in space.', 'He was the first person to fly the Shuttle, shoot down an enemy  fighter, and fly a balloon across the Atlantic.', 'He was the first person to fly the Shuttle three times.', 'He was the first person to make a space walk.']",0
"Progesterone, the hormone of pregnancy, is synthesized in this part of the body.","['In the ovaries', 'All of these', 'In the placenta', 'In the brain']",1
Name the alter ego of Marvel Comics fictional character Moon Knight.,"['Marc Spector', 'Victor Spector', 'Steve Rogers', 'Douglas Ramsey']",0
Which is the correct version of the joke about these four medical specialists?,"['A psychiatrist knows nothing and does nothing. An internist knows everything and does nothing. A pathologist knows nothing and does everything. A surgeon knows everything, and does everything--but too late!', 'A psychiatrist knows nothing and does nothing. A pathologist knows everything and does nothing. An internist knows nothing and does everything. A surgeon knows everything, and does everything--but too late!', 'A psychiatrist knows nothing and does nothing.  An internist knows everything and does nothing. A surgeon knows nothing and does everything. A pathologist knows everything, and does everything--but too late!', 'A psychiatrist knows nothing and does nothing. A pathologist knows everything and does nothing. A surgeon knows nothing and does everything.  An internist knows everything, and does everything--but too late!']",2
"These particles form light, as you see it.","['Electrons', 'Quarks', 'Leptons', 'Photons']",3
What is the meaning of plasmodium?,"['The parasite that causes malaria', 'The part of the blood that covers red and white blood cells and platelets', 'The liquid-like substance found in animal and plant cells', 'The gel-like substance that holds fish eggs together']",0
What does psephology study?,"['African snakes', 'dreams', 'elections', 'poetry']",2
At what stage of the development of the fetus do eyelashes form?,"['Between the 7th and 8th week', 'Around the 26th week', 'Between the 13th and 14th week', 'Around the 20th week']",0
Which word refers to the study of bones?,"['otology', 'osteology', 'endocrinology', 'neropathp']",1
"If a woman has these pains, they almost always disappear when she becomes pregnant.","['Stomach aches', 'Neural pains', 'Arthritic pains', 'Migraine pains']",2
Identify a true characteristic of skeletal muscle.,"['It is found in the stomach and intestines.', 'It is non-striated, composed of spindle shaped cells.', 'It is involuntary.', 'It is striated, made up of long slender, striped cells.']",3
How are hard drives and floppy disks read?,"['Laser', 'Beam of Nuclear Radiation', 'Magnetically', 'Sensor']",2
There are billions of these microscopic creatures in your bed and they feed on this.,"['Wood', 'Dead skin cells', 'Cotton fibres', 'Sweat']",1
Which word means the study of dogs?,"['cynology', 'onerology', 'carnaology', 'tocology']",0
How permeable is the cell membrane?,"['It is semi permeable', 'It varies in permeablity', 'It is fully permeable', 'It is not permeable']",0
This is the length of the worlds longest documented hair.,"['13.77 feet (4.2 m)', '23.95 feet (7.3 m)', '6.56 feet (2.0 m)', '18.37 feet  (5.6 m)']",3
Which type of mirror produces an image that is smaller than the original?,"['Convex', 'Flat', 'Concave-Convex', 'Concave']",3
This doctor takes care of you and your baby during pregnancy.,"['Psychologist', 'Periodontist', 'Obstetrician', 'Pediatrician']",2
Roy C Sullivan survived this number of lighting strikes.,"['12', '7', '3', '47']",1
What is the most likely suffix of the email address of someone who is Dutch?,"['.nl', '.hl', '.ho', '.du']",0
Find the correct statement about cyclones.,"['Cyclones always carry hot air.', 'In the Northern Hemisphere cyclones move in a counterclockwise direction.', 'Cyclones are high pressure systems.', 'In cyclones air moves away from the center.']",1
Which time zone encompasses the least number of the continuous 48 United States?,"['Pacific', 'Eastern', 'Central', 'Mountain']",0
What is the symbol for Sulfur?,"['Sf', 'Su', 'S', 'Sl']",2
"In which unit measuring system do 2,240 pounds equal 1 ton?","['Avoirdupois', 'Both avoirdupois and British', 'British', 'None of these']",2
The word atom comes from the Greek atomos which means what?,"['Miniature', 'Fast', 'Invisible', 'Uncuttable']",3
The greatest age to which any man has ever lived is this.,"['134 years', '162 years', '120 years', '104 years']",2
What objects do we call translucent?,"['Objects that transmit light and scatter it', 'Objects that reflect all light specularly (i.e. in the manner of a mirror)', 'Objects that absorb all wavelengths', 'Objects that transmit light but do not scatter it']",0
"St Marks Basilica, a prominent example of Byzantine architecture, is located in which Italian city?","['Milan', 'Rome', 'Venice', 'Florence']",2
Venus is the third brightest object in the sky after the Sun and what other object?,"['Proxima Centuri', 'Aldeberan', 'Sirius', 'The Moon']",3
Hexagon ABCDEF has six equal sides and six equal angles. How many degrees is each angle?,"['144 degrees', '90 degrees', '180 degrees', '120 degrees']",3
What is the difference between a balloon and a zeppelin?,"['A balloon can only go up and down; it cannot go East-West or left-right.', 'A zeppelin has a pilot or pilots below the gas filled chamber.', 'A zeppelin has a rigid frame around the balloon containing the gases.', 'A zeppelin is filled with specific gases rather than hot air.']",2
"Only three groups of land creatures get cavities - humans, pets kept by humans, and this group.","['Rodents', 'Bears', 'Tigers', 'Armadillos']",1
What is the atomic number of Neon?,"['11', '13', '10', '12']",2
What is the largest organ in the human body?,"['Skin', 'Stomach', 'None of these', 'Large intestine']",0
"In the USA, obesity is the second leading cause of preventable death after this one.","['Stress', 'Drugs', 'Pollution', 'Smoking']",3
Which commercial building can also store data?,"['Warehouse', 'Super market', 'Store', 'Shop']",0
The growth hormone is released from this gland.,"['Pancreas', 'Hypophysis', 'Adrenal Gland', 'Pineal Gland']",1
Which medical specialty largely replaced the old general practice specialty?,"['Internal Medicine', 'General Surgery', 'Obstetrics', 'Family Practice']",3
What was the first spacecraft to fly by Jupiter?,"['Pioneer 10', 'Voyager 1', 'Pioneer 11', 'Voyager 2']",0
In which of these places natural pearl hunting on a large scale has survived until modern times?,"['India and China', 'Spain', 'Africa and South America', 'Australia and Bahrain']",3
In what internal human organ are the islets of Langerhans located?,"['Spleen', 'Pancreas', 'Liver', 'Kidney']",1
A lightning bolt can produce what voltage?,"['4 million volts', '400 million volts', '1 million volts', '1 billion volts']",3
Acid rain is defined as rain with a pH of below this.,"['8.6', '5.6', '2.6', '11.6']",1
This is sometimes called Eulers Formula.,"['a^2+b^2=c^2', 'e=m*c^2', 'a^2=b^2+c^2-2*a*b*cosine c', 'e^(pi*i)+1=0']",3
What did alchemists associate the planets with?,"['Women', 'Animals', 'Metals', 'Dreams']",2
What does a caterpillar turn into?,"['butterfly or moth', 'butterfly', 'moth', 'larva']",0
Who is considered to be the father of anthropology?,"['Louis Leakey', 'Franz Boas', 'Robert Bloom', 'Eugene Dubois']",1
What are  the odds that you will be killed by lightning in the USA?,"['360,200,000 to1', '2,320,000 to 1', '23,200,000 to 1', '506,000 to 1']",1
"This kind of doctor is an expert in such diseases as Lupus, Sjogrens Syndrome, and Dermatomyositis.","['Otorrhinolaryngologist', 'Internist', 'Rheumatologist', 'Gastroenterologist']",2
"According to the properties it exhibits, light is defined as what?","['Electromagnetic wave', 'Both wave and particles', 'Living organism', 'Group of particles']",1
Scientists estimate that the Earth and the Solar System were formed how long ago?,"['100 million years', '4.5 billion years', '10 billion years', '3.5 billion years']",1
These biological poisons damage bio systems on contact. The injuries they cause resemble burns.,"['Oxidizers', 'Halides', 'Corrosives', 'Neurotoxins']",2
What is the symbol for Cadmium?,"['Cm', 'Cd', 'C', 'Ca']",1
"Worldwide, tropical cyclone activity peaks towards the end of which season and why?","['Summer, because water temperatures are warmest', 'Spring, due to the rapid worming of water', 'Fall, as temperature rapidly falls, waters remain warm', 'Winter, due to the delta between air and water temperatures']",0
Ichthyology is a branch of biology that deals with which of these?,"['All of these', 'Amphibians', 'Fish', 'Water animals']",2
The Earth orbits the Sun at an average distance of how many million miles?,"['42', '93', '89', '101']",1
What did early Greeks believe lightning was?,"['The weapon of Zeus', 'A warning from Minerva', 'The sign of death', 'A symbol of good fortune']",0
Which ancient Greek historian is considered the Father of History?,"['Socrates', 'Plato', 'Herodotus', 'Demitrios']",2
"In the 1950s, these electronic components replaced vacuum tubes in the production of computers.","['diodes', 'chips', 'transistors', 'processors']",2
What is the symbol for Iron?,"['Fe', 'I', 'Ir', 'Fi']",0
A King Cobra and a frog would be subjects of study of what science?,"['autecology', 'astacology', 'reptology', 'herpetology']",3
Which small software is actually a software giant from Redmond?,"['Milisoft', 'Nanosoft', 'Minisoft', 'Microsoft']",3
Who wrote the first textbook on Geometry?,"['Thales', 'Euclid', 'Archimedes', 'Van Nostrand']",1
What animal has the broadest visual color spectrum?,"['Elephant', 'American Kestrel Falcon', 'Butterfly', 'Bumblebee']",2
Approximately how long is one astronomical unit (1 a.u.)?,"['174,000,000 km /108,118,587 miles', '8,000,000 km/ 4,970,969 miles', '149,597,000 km/ 92,955,266 miles', '878,000,000 km/ 545,563,907 miles']",2
Which one of these organelles is a part of the endomembrane system of eukaryotic cells?,"['Chloroplast', 'Mitochondrion', 'Endoplasmic reticulum', 'Nucleus']",2
Which fictional character had T-Negative blood type?,"['King Billy Haraah', 'The Scorpion King', 'Mr. Spock', 'Dr. Who']",2
This organ expands up to 500 times its normal size during the pregnancy.,"['The stomach', 'The uterus', 'The ovaries', 'The bladder']",1
How long can a total lunar eclipse last?,"['1 hour  40 minutes', '4 hours  30 minutes', '2 hours  30 minutes', '3 hours  20 minutes']",0
"In this movie Ayla, played by Daryl Hannah, teaches her new family to count all the way to ten.","['The Clan of the Cave Bear', 'Caveman and Cavewoman', 'Way of the Caveman', 'Land of the Tribe']",0
What type of medical problems does the consumption of raw seeds of the Common bean commonly cause?,"['Eyesight problems', 'All of these', 'Kidney failure', 'Gastric problems']",3
What sign flew over the school of Aristotle?,"['Know Thyself', 'Es Will De garnish helfen', 'Let no one unfamiliar with geometry enter', 'All for Knowledge']",2
How many phases are there in a human cardiac cycle?,"['3', '2', '1', '4']",1
What is the symbol for Platinum?,"['Pt', 'Pl', 'P', 'Pa']",0
Why did the U.S.A. launch the Galileo space probe?,"['to explore Pluto', 'to explore Mercury', 'to explore Jupiter', 'to explore the sun']",2
What type of cells are Betz cells that are found in the human body?,"['Epithelial cells', 'Neurons', 'Striated muscle cells', 'Melanocytes']",1
What is the mean temperature on the surface of Mercury?,"['-10 degrees Fahrenheit / -23 degrees Celsius', '333 degrees Fahrenheit / 167 degrees Celsius', '212 degrees Fahrenheit / 100 degrees Celsius', '1,500 degrees Fahrenheit / 815 degrees Celsius']",1
What term is used by skiers to describe wet granular snow?,"['Goobers', 'Corn', 'Clumps', 'Snow peas']",1
The muscular system composes what percent of total body weight?,"['25% - 35%', '35% - 50%', '10% - 15%', '60% - 70%']",1
"In The Wizard of Oz movie, Scarecrow states which very important mathematical theorem?","['Euclids Fifth Postulate', 'The Law of Pythagoras', 'Eulers Theorem', 'Newtons Axiom']",1
How many people die of air pollution around the world each year?,"['500,000', '50,000', '1 million', '3 million']",3
How many muscles are in your face?,"['44', '12', '8', '30']",3
Which statement is not  true about functions?,"['For some functions we can not find a maximal value.', 'A function is always written as a polynomial.', 'A function is a type of relationship between two sets.', 'A one-to-one relationship is a type of function.']",1
Which statement is true about airplanes?,"['To dive, elevators are up.', 'To dive, ailerons are down.', 'To dive, elevators are down.', 'To dive, ailerons are up.']",2
Where in the human body is the Golgi organ located?,"['In tendons', 'Within the brain', 'Within the cell', 'In the eye']",0
How many of the basic mathematical operations are needed to have an algebra?,"['3', '2', '0', '4']",0
Name the 1962 film about the planet Uranus?,"['Meet me on Uranus', 'Journey to the Seventh Planet', 'Escaping the Blue Planet', 'I Love Uranus']",1
The oldest male stripper was that old when the record was documented.,"['78', '65', '101', '54']",1
"For some reason, you  are playing craps. The person rolling wants Little Joe. What is he hoping for?","['a 12', 'a 2', 'a 4', 'a 14']",2
What national symbols are subject of study of vexillology?,"['flags', 'seals', 'national emblems', 'coat of arms']",0
What is the three-letter acronym for the Nobel-winning process which allows DNA to be amplified?,"['HCV', 'ATP', 'PCR', 'SRC']",2
Which are the four tastes considered as basic in Western culture?,"['Sweet, salty, tasteless, and sour', 'Bitter, salty, sweet, and savory', 'Sweet, salty, chilly, and sour', 'Bitter, sweet, sour and salty']",3
Fungi take important part in which phase of the nutrient cycling and exchange?,"['Organic matter formation', 'Organic matter recomposition', 'Organic matter decomposition', 'All of these']",2
In which gland of the human body can Hurthle cells be found?,"['Thyroid gland', 'Thymus gland', 'Adrenal gland', 'Pituitary gland']",0
What is the name for a band of the celestial sphere centered on the ecliptic and encircling the sky?,"['Vernal Equinox', 'Zodiac', 'Photosphere', 'Corona']",1
What scientific term denotes body hair?,"['Androgenic hair', 'Somatic hair', 'All of these', 'Puberty hair']",0
"The medical prefix oophoro, which derives from Greek, refers to which part of the body?","['Muscle', 'Uterus', 'Abdomen', 'Ovary']",3
"If you have hyperthyroidism, your body is overproducing what hormone?","['Estrogen', 'Thyroxine', 'Glucagon', 'Thyrocalcitonin']",1
Approximately what is the speed of light in vacuum?,"['250 000 km/s', '1 000 000 km/s', '12 000 km/s', '300 000 km/s']",3
Sir Isaac Newton developed his calculus and physics at what college?,"['Oxford', 'None', 'Trinity', 'Cambridge']",1
"Jason has 3 quarters, 8 nickels, 6 dimes and 3 pennies. How much money does he have?","['$0.35', '$1.78', '$2.58', '$1.93']",1
We call visible light the electromagnetic radiation belonging to the what wave range?,"['12,000-15,000 nm', '1000-1500 nm', '100-520', '380-750 nm']",3
"If you eat more protein, youll build more muscle.","['True', 'No Way', 'Somewhat True', 'False']",2
"During  first quarter moon, what time does the moon rise?","['dawn', 'midnight', 'noon', 'sunset']",2
Which two of these are produced when an acid and a base are mixed together?,"['water and a salt', 'water and another base', 'HCl and NaOH', 'water and another acid']",0
"If 123facts.de existed, in which language would the quizzes most likely be written?","['French', 'Danish', 'Spanish', 'German']",3
What was the supposed reason for Charles Darwins health problems that started in 1837?,"['Allergy', 'Depression', 'A mysterious disease that he caught during his first voyage', 'Overwork']",3
"Why do travelers to La Paz, Bolivia, often become ill as soon as they arrive?","['Because of the high temperature', 'Because of the humidity', 'Because of the soil quality', 'Because of the altitude']",3
Approximately what percentage of Americas waste is paper?,"['39 %', '14 %', '8 %', '24 %']",0
"Along with Neil  Armstrong and Michael Collins, who was the third member of the Apollo 11 crew?","['James A. Lovell, Jr', 'William Anders', 'Fred Haise', 'Buzz Aldrin']",3
What does the term blood serum refer to?,"['None of these', 'Blood plasma without the clotting proteins', 'Blood without the cell elements', 'It is a synonym for blood plasma.']",1
Which is the only stable chemical element whose atom can contain no neutrons at all in its nucleus?,"['Oxygen-1', 'Hydrogen-1', 'There is no such element.', 'Helium-3']",1
What year was the iPod introduced?,"['2001', '2003', '2008', '2007']",0
What does a concave mirror do with the object that is reflected?,"['It widens the size of the object.', 'It increases the size of the object.', 'It decreases the size of the object.', 'Depends on the on the distance between the object and the mirror.']",3
"What important thing did Einstein do on August 2nd, 1939?","['He proved the Theory of Special Relativity', 'He found the speed of light', 'He wrote a letter', 'He proved  E=mc^2']",2
In what Asian country did one of the two main branches of alchemy originate?,"['India', 'Saudi Arabia', 'China', 'Japan']",2
"What is the name of the dog, that became the first earthling to enter orbit?","['Lisichka', 'Laika', 'Rover', 'Belka']",1
How long are the intestines of an average adult? (large and small),"['approx 1-2 meters (3-6.5 feet)', 'approx 19-20 meters (62-65 feet)', 'approx 8-9 meters (26-29.5 feet)', 'approx 15-16 meters (49-52.5 feet)']",2
Who was the first person to fly solo nonstop around the world in a balloon?,"['Heinrich Kubis', 'Steve Fossett', 'Richard Rutan', 'John Alcock']",1
What is the most distant object you can see unaided under the best possible conditions?,"['Triangulum Galaxy(M33)', 'Andromeda Galaxy(M31)', 'The Large Magellanic Cloud', 'The Whirlpool Galaxy(M51)']",0
"In medicine, which of these brain disorders does the term prosopagnosia refer to?","['The inability to express emotions', 'Misinterpretation of basic human expressions', 'Total indifference to others expressions', 'The Inability to recognize faces']",3
In which country was the term television coined?,"['Canada', 'The USA', 'The United Kingdom', 'France']",3
Niacin is the name of this B vitamin.,"['Vitamin B12', 'Vitamin B5', 'Vitamin B9', 'Vitamin B3']",3
When was fibromyalgia recognized as an illness by the American Medical Association?,"['in the 1990s', 'in the 1960s', 'in the 1970s', 'in the 1980s']",3
People with this disorder have difficulty engaging in everyday human interaction.,"['Autism', 'Huntingtons Disease', 'Cerebral Palsy', 'Addisons Disease']",0
"On the Internet, who or what is a server?","['The person who serves the hors doeuvres.', 'The computer on which the programs of a web site run', 'The person who serves the customers of an Internet Service Provider', 'The program which controls a web page']",1
All of the following are treatments for rheumatoid arthritis EXCEPT which one?,"['Carbamazepine', 'Hydroxychloroquine', 'Gold', 'Prednisone']",0
What is the big green board in the computer called?,"['motherboard', 'daughter card', 'father card', 'son board']",0
This is considered the first  American sitcom with a gay character.,"['The Nancy Walker Show', 'Soap', 'Barney Miller', 'The Corner Bar']",3
